,hotel_name,5_score,4_score,3_score,2_score,1_score,Total
165,푸른여인숙,8,10,9,5,0,117
166,풍원장,17,24,24,43,65,404
167,필모텔,52,34,19,13,28,507
168,하이얀모텔,3,4,11,2,9,77
169,한화호텔앤드리조트(주)용인,0,0,0,0,0,0
170,행운모텔,28,11,28,10,20,308
171,헤르메스호텔,13,5,12,5,8,139
172,호텔 M7,16,19,25,41,51,364
173,호텔 문라이즈(Hotel Moonrise),24,35,43,47,33,516
174,호텔 비엔,0,4,3,5,7,42
175,호텔 에비뉴,5,1,7,4,1,59
176,호텔 컬리넌 용인,25,10,27,12,23,293
177,호텔 탑,15,10,37,24,12,286
178,호텔 헤르메스,23,10,30,10,20,285
179,호텔.폴,16,26,23,43,58,397
180,호텔172st,25,37,45,49,32,538
181,호텔마리,7,2,4,8,6,77
182,호텔몬트,0,0,6,0,0,18
183,호텔베너,7,4,6,6,5,86
184,호텔스위스,0,0,0,1,0,2
185,호텔스테이,23,7,29,15,22,282
186,호텔야자 용인터미널지점,25,11,28,10,22,295
187,호텔오다(Hotel ODA),2,0,8,1,1,37
188,호텔자유1,0,0,0,3,0,6
189,호텔자유2,0,0,0,2,0,4
190,호텔주노,22,8,7,15,12,205
191,호텔카사,6,2,4,6,6,68
192,홀인원,24,40,40,49,34,532
193,홈브리지캐빈호스텔,6,4,6,3,6,76
194,홍실여인숙,15,4,14,4,6,147
195,휘닉스모텔,24,12,30,9,21,297
196,힐(HILL)모텔,5,5,13,3,8,98
197,힐탑여관,0,0,0,0,0,0
198,힐호텔,26,38,46,51,35,557
