,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
432,용인마평,경기도 용인시 처인구 고림로 22,37.2356367,127.2143256,아파트주차장,21,6,29,15,19,265
433,동천자이아파트,경기도 용인시 수지구 고기로 89,37.3453396,127.0929391,아파트주차장,27,14,11,14,13,265
434,교동마을쌍용,경기 용인시 기흥구 마북로154번길 23,37.3033372,127.1269241,아파트주차장,15,18,20,20,17,264
435,신원1차,경기도 용인시 처인구 포곡로 90,37.2673683,127.215862,아파트주차장,17,12,24,17,21,260
436,물푸레마을휴먼시아7단지,경기도 용인시 기흥구 구성로 395,37.2929383,127.1517849,아파트주차장,17,17,17,24,8,260
437,신원2차,경기도 용인시 처인구 포곡로 98-1,37.2671718,127.2174808,아파트주차장,17,12,24,15,23,258
438,물푸레마을휴먼시아9단지,경기도 용인시 기흥구 구성로 392,37.2918368,127.1531055,아파트주차장,14,21,15,25,6,255
439,용인인정프린스2차,경기도 용인시 처인구 경안천로 378,37.2644087,127.2163425,아파트주차장,19,14,17,16,20,254
440,죽전자이2차,경기도 용인시 기흥구 용구대로2469번길 20,37.3079519,127.1063048,아파트주차장,8,14,29,28,15,254
441,용인마평두보,경기도 용인시 처인구 금령로173번길 14,37.2355102,127.2163115,아파트주차장,20,6,28,14,17,253
442,보라마을현대모닝사이드2차,경기 용인시 기흥구 용구대로 1842,37.2528157,127.1063669,아파트주차장,5,30,19,13,25,253
443,삼성래미안,경기도 용인시 기흥구 한보라1로64번길 22,37.2517612,127.1063354,아파트주차장,5,30,17,13,28,250
444,광교마을45단지,경기도 용인시 수지구 광교마을로 11,37.2964591,127.0715785,아파트주차장,25,3,18,19,21,250
445,광교상록자이,경기도 용인시 수지구 광교마을로 62,37.2964591,127.0715785,아파트주차장,25,3,18,19,21,250
446,구갈동,경기도 용인시 기흥구 강남로 23,37.2724176,127.1275789,관공서,13,17,11,23,37,249
447,청덕마을광도와이드빌,경기도 용인시 기흥구 언동로71번길 64,37.2876158,127.1456712,아파트주차장,17,14,12,30,11,248
448,인정프린스1차,경기도 용인시 처인구 금어로 6,37.2648788,127.2160344,아파트주차장,18,13,18,16,20,248
449,동일하이빌4단지,경기도 용인시 수지구 신봉3로12번길 9,37.330039,127.0647753,아파트주차장,19,20,9,15,13,245
450,진흥더블파크,경기도 용인시 수지구 죽전로254번길 29,37.3330962,127.13057,아파트주차장,17,10,22,21,11,244
451,강남마을코오롱하늘채,경기도 용인시 기흥구 강남동로 20,37.2700528,127.1288736,아파트주차장,11,21,9,23,31,243
452,신촌마을상록데시앙,경기도 용인시 기흥구 보정로 26,37.3131032,127.1105962,아파트주차장,11,10,21,32,19,241
453,광교경남아너스빌,경기도 용인시 수지구 광교마을로 2,37.297037,127.06924,아파트주차장,24,2,16,21,21,239
454,교동마을LG자이,경기 용인시 기흥구 마북로 182,37.3052495,127.1256036,아파트주차장,12,17,19,19,16,239
455,신촌마을포스홈타운2단지,경기도 용인시 기흥구 신촌로47번길 11,37.308879,127.1092833,아파트주차장,7,14,24,27,20,237
456,호반써밋 레이크파크,경기도 용인시 기흥구 흥덕1로79번길 37,37.2775755,127.0700616,아파트주차장,18,16,19,11,4,237
