,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
305,역북지웰 푸르지오,14,23,18,27,25,295
306,연원마을벽산아파트,16,17,47,29,20,367
307,연원마을삼성명가타운,10,16,40,28,21,311
308,연원마을삼성쉐르빌아파트,12,22,39,30,22,347
309,연원마을성원아파트,11,16,44,26,22,325
310,연원마을엘지,13,15,46,27,17,334
311,연원마을현대,13,19,42,27,23,344
312,영덕신일,16,4,21,17,22,215
313,영통로 효성해링턴 플레이스 아파트,0,21,0,4,17,109
314,영통빌리지,6,12,3,13,10,123
315,예원마을코아루,6,0,0,5,0,40
316,예진마을2차,9,4,20,7,8,143
317,예진마을3차,7,5,15,6,4,116
318,예현마을현대홈타운,2,20,3,5,12,121
319,용인 구성역 효성해링턴플레이스,21,25,34,31,27,396
320,용인 명지대역 동원로얄듀크아파트,20,26,24,29,30,364
321,용인구갈8,15,37,14,15,24,319
322,용인기흥 우방아이유쉘 아파트,4,6,3,13,18,97
323,용인기흥 효성해링턴플레이스아파트,14,5,18,12,16,184
324,용인김량장주공2단지,53,44,21,23,33,583
325,용인대우,12,23,12,13,11,225
326,용인동백두산위브더제니스,22,24,19,23,15,324
327,용인마북신원아침도시,2,11,4,13,11,103
328,용인마평,21,6,29,15,19,265
329,용인마평두보,20,6,28,14,17,253
330,용인보라해링턴플레이스아파트,16,44,27,9,10,365
331,용인삼가풍림,22,8,6,8,8,184
332,용인삼환나우빌아파트,46,45,26,30,36,584
333,용인서천효성해링턴플레이스,2,17,0,6,15,105
334,용인성웅,14,7,10,11,5,155
335,용인세원,2,4,15,3,12,89
336,용인수목원우림필유아파트,0,5,0,1,0,22
337,용인수지동도센트리움 아파트,43,45,42,60,23,664
338,용인신갈푸르지오,31,24,25,18,18,380
339,용인에스원스마트빌,26,10,28,12,23,301
340,용인역북골드클래스아파트,14,23,18,27,25,295
341,용인인정프린스2차,19,14,17,16,20,254
342,용인죽전동부센트레빌,23,19,43,45,21,431
343,용인행정타운두산위브1단지,11,7,5,25,14,162
344,용인행정타운두산위브2단지,17,9,7,26,15,209
345,용인행정타운두산위브3단지,11,7,5,25,14,162
346,용인흥덕아델리움8단지,16,19,11,15,11,230
347,용화마을태영데시앙,24,20,28,31,17,363
348,우남퍼스트빌,16,15,5,26,12,219
349,우림홀인원,3,6,9,5,16,92
350,우미 린 센트럴파크 관리사무소,20,26,24,29,30,364
351,우미이노스빌1차,45,36,39,42,30,600
352,원대마을한신아파트,28,37,20,48,79,523
353,원천마을푸르지오,31,26,13,24,7,353
354,웰메이드시티337,31,13,27,11,22,332
355,웰스톤시티,26,36,27,27,10,419
356,유메이드,54,42,25,15,31,574
357,이삭베스트,10,1,18,3,13,127
358,이스턴팰리스아파트,43,47,40,66,48,703
359,이안 두드림기흥역,15,28,27,40,62,410
360,이편한세상 용인한숲시티 3단지,10,10,0,0,16,106
361,이편한세상용인파크카운티,5,10,7,4,1,95
362,인성마을현대,31,24,20,26,16,379
363,인정멜로디,17,8,22,11,16,221
364,인정프린스1차,18,13,18,16,20,248
365,인정프린스3차,16,14,13,16,19,226
366,인정프린스4차,10,10,25,8,13,194
367,인정피렌체빌리지1차,9,4,18,7,7,136
368,임원마을영화1차,9,0,17,1,13,111
369,자봉마을써니밸리,8,9,8,2,10,114
370,장미마을 삼성래미안2차,27,23,25,25,26,378
371,죽전7차현대홈타운1단지,49,50,33,24,37,629
372,죽전7차현대홈타운2단지,50,48,38,26,39,647
373,죽전건영캐스빌,20,12,34,29,15,323
374,죽전누리에뜰,32,28,31,24,25,438
375,죽전동성1차,52,57,36,30,45,701
376,죽전아이뷰,48,49,35,27,43,638
377,죽전역솔하임,53,55,44,32,48,729
378,죽전자이2차,8,14,29,28,15,254
379,죽전주공8단지,51,53,37,26,46,676
380,죽전중앙하이츠,42,37,43,35,32,589
381,죽전퍼스트하임,54,53,44,31,44,720
382,죽전현대1차,17,12,26,27,13,278
383,죽현마을LG자이,24,18,16,22,20,304
384,죽현마을아이파크1차,30,21,22,25,20,370
385,지석마을그대가크레던스,12,40,12,14,23,307
386,지석마을진흥더루벤스1단지,10,19,16,12,11,209
387,지석마을진흥더루벤스2차,12,17,19,11,13,220
388,진산마을삼성5차아파트,30,33,40,61,37,561
389,진산마을삼성래미안6차,18,21,44,46,29,427
390,진산마을삼성래미안7차,27,27,41,56,34,512
391,진산마을성원상떼빌아파트,36,35,42,63,30,602
392,진우,12,15,6,30,15,213
393,진흥더블파크,17,10,22,21,11,244
394,참솔마을월드메르디앙,11,12,18,21,14,213
395,창죽벽산첼시빌,41,30,20,24,16,449
396,청덕마을광도와이드빌,17,14,12,30,11,248
397,"청명호수마을신안인스빌1,2단지",3,8,8,7,14,99
398,청현마을 두진,16,4,21,18,21,216
399,청현마을기흥데시앙,12,5,17,10,15,166
400,초당마을 삼부르네상스,6,8,16,16,8,150
401,초당마을삼부르네상스아파트,9,10,17,18,8,180
402,초당마을주공3단지,2,3,9,10,7,76
403,초당마을현진에버빌,5,5,15,15,7,127
404,초록마을 풍림아파트,15,34,10,9,17,276
405,초원마을성원상떼빌,22,20,18,11,15,281
406,초입마을삼익풍림동아,50,38,45,57,30,681
407,탑실마을대주피오레1단지,2,6,11,6,19,98
408,태영데시앙2차,60,49,38,58,43,769
409,파크시엘아파트,34,25,26,27,15,417
410,포레나광교상현,32,37,42,59,53,605
411,푸른마을 용인 자이 아파트,19,5,22,13,13,220
412,푸른마을푸르지오,54,37,28,52,45,651
413,풍덕천동 한샘 더랜드마크,22,34,41,45,32,491
414,풍림2차,38,29,15,27,10,415
415,풍림고층,22,40,36,45,88,556
416,풍산,66,43,40,44,25,735
417,풍산햇빛마을,10,11,18,3,19,173
418,하마비마을동부센트레빌,23,29,26,21,32,383
419,한보라 더힐,2,22,18,10,35,207
420,한보라 에듀포레,8,36,20,13,28,298
421,한보라마을 경남아너스빌,0,12,12,8,31,131
422,한보라마을휴먼시아4단지,13,38,26,14,25,348
423,한보라마을휴먼시아7단지,0,14,13,11,32,149
424,한일유엔아이,25,22,47,48,29,479
425,한천마을금광베네스타,3,3,10,4,8,73
426,한화포레나수지동천,33,24,9,25,17,355
427,해든마을동문굿모닝힐,38,34,14,36,31,471
428,행림마을진로,35,25,13,25,9,373
429,행정타운늘푸른오스카빌,11,12,6,28,14,191
430,현대성우,39,42,48,62,54,685
431,현대성우5차,77,53,53,53,21,883
432,현대홈타운4차1단지,53,52,39,38,39,705
433,현암마을동성2차,49,59,39,30,53,711
434,현인마을대림이편한세상2차,40,37,28,19,26,496
435,현인마을대림이편한세상3차,43,37,31,23,31,533
436,호반베르디움,15,18,13,20,6,232
437,호반써밋 레이크파크,18,16,19,11,4,237
438,호수마을계룡리슈빌,24,35,20,39,30,428
439,호수마을동보노빌리티,34,38,20,37,37,493
440,호수마을상록롯데캐슬,40,36,24,31,36,514
441,호수마을서해그랑블,30,36,24,32,35,465
442,호수마을월드메르디앙,17,31,17,37,20,354
443,호수마을자연앤데시앙,20,29,16,39,18,360
444,호수마을주공3단지,23,35,20,33,32,413
445,호수청구,2,4,15,2,20,95
446,화성파크드림아파트,12,34,21,13,23,308
447,화성파크드림프라브,5,19,13,12,31,195
448,효천마을신안인스빌,7,5,16,1,11,116
449,휴먼시아5단지,16,34,17,35,22,359
450,휴먼시아흥덕마을1단지,17,15,17,12,4,224
451,흥덕11단지경남아너스빌,14,13,11,9,9,182
452,흥덕마을12단지,4,10,3,17,22,125
453,흥덕마을13단지경남아너스빌,3,6,6,16,23,112
454,흥덕마을14단지 호반베르디움,8,13,3,15,28,159
455,흥덕마을3단지,21,24,15,17,15,295
456,흥덕마을7단지힐스테이트,20,14,16,12,5,233
457,흥덕마을주공4단지,16,19,11,16,13,234
458,흥덕우남퍼스트빌리젠트,10,9,5,8,11,128
459,흥덕우미린레이크포레,16,19,11,15,11,230
460,힉스유타워 아파트,11,11,21,20,27,229
461,힐스테이트 광교산,26,36,27,27,10,419
462,힐스테이트 구성 아파트,20,26,31,24,31,376
463,힐스테이트 서천 아파트,10,15,3,9,10,147
464,힐스테이트기흥,8,33,36,33,77,423
