,소재지명,도로명,위도,경도,시설구분
60,서천레스피아 화장실,경기도 용인시 기흥구 서천서로 65,37.2386924974,127.0685893863,공중화장실
61,구갈레스피아 생태공원 입구 화장실,경기도 용인시 기흥구 중부대로 640,37.266820707,127.131306247,공중화장실
62,기흥레스피아 관리동 2층,경기도 용인시 기흥구 하갈로 79,37.2521134199,127.0964553873,공중화장실
63,경기국악원,경기도 용인시 기흥구 민속촌로 89,37.2593999093,127.1136257242,공중화장실
64,백남준아트센터,경기도 용인시 기흥구 백남준로 10,37.2677369554,127.1084627384,공중화장실
65,경기도박물관,경기도 용인시 기흥구 상갈로 6,37.2691333146,127.1103615414,공중화장실
66,경기도여성능력개발본부,경기도 용인시 기흥구 용구대로 2311,37.2922212162,127.1085952988,공중화장실
67,성복역,경기도 용인시 수지구 수지로 134,37.3137920363,127.0803813956,공중화장실
68,동천역,경기도 용인시 수지구 신수로 760,37.3381476927,127.102941529,공중화장실
69,신갈공영주차장,경기도 용인시 기흥구 갈천로7번길 69,37.2708615324,127.1068899701,공중화장실
70,용인시다목적복지회관 2층,경기도 용인시 기흥구 구갈로28번길 24,37.2772489929,127.1140646724,공중화장실
71,상갈공영주차장,경기도 용인시 기흥구 금화로105번길 3,37.2658222894,127.1067582704,공중화장실
72,용인실내체육관,경기도 용인시 처인구 경안천로 76,37.2385435325,127.2125509317,개방화장실
73,용인도시공사,경기도 용인시 처인구 금령로 47,37.2353706155,127.2016274098,공중화장실
74,남사스포츠센터 화장실,경기도 용인시 처인구 남사읍 한숲로 100,37.1569467014,127.1737805782,공중화장실
75,중앙공영주차장,경기도 용인시 처인구 백옥대로 1103,37.2340535935,127.2084756668,공중화장실
76,금학공영주차장,경기도 용인시 처인구 용문로 140,37.2361448771,127.2012523198,공중화장실
77,용인평온의숲(시설관리동),경기도 용인시 처인구 이동읍 평온의숲로 77,37.1204780034,127.2284759386,공중화장실
78,용인평온의숲(봉안당) 1층,경기도 용인시 처인구 이동읍 평온의숲로 77,37.1204780034,127.2284759386,공중화장실
79,시민체육센터 축구장 화장실,경기도 용인시 처인구 포곡읍 금어로 317,37.2763792632,127.2457956351,공중화장실
80,시민체육센터 풋살장 화장실,경기도 용인시 처인구 포곡읍 금어로 317,37.2763792632,127.2457956351,공중화장실
81,구갈지구대,경기도 용인시 기흥구 관곡로 41,37.2833397682,127.1105026488,공중화장실
82,고매파출소,경기도 용인시 기흥구 동탄기흥로 715,37.2231872497,127.0990442917,공중화장실
83,보라파출소,경기도 용인시 기흥구 한보라1로 42-3,37.2514424662,127.1087161336,공중화장실
84,흥덕파출소,경기도 용인시 기흥구 흥덕2로118번길 1,37.2783670175,127.0746912209,공중화장실
85,동부파출소,경기도 용인시 처인구 경안천로 16,37.2346628922,127.2106604142,공중화장실
86,중앙지구대,경기도 용인시 처인구 금령로 18,37.2345867892,127.1982258523,공중화장실
87,용인동부경찰서 화장실,경기도 용인시 처인구 금학로 143,37.2415620313,127.1804291184,공중화장실
88,남사파출소,경기도 용인시 처인구 남사읍 처인성로185번길 13,37.1137911301,127.1500136323,공중화장실
89,건강마당공원,경기도 용인시 기흥구 한보라1로21번길 20,37.252516786,127.1119581541,공중화장실
90,용뫼근린공원,경기도 용인시 기흥구 금화로105번길 33,37.2640160025,127.1081306154,공중화장실
