시군명,사업장명,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,
용인시,(주)블루원 스타트하우스,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40 (외579필지 지하1층),경기도 용인시 처인구 원삼면 죽능리 산 38 외579필지 지하1층 ,17170,37.13418249,127.3259392,
용인시,(주)블루원 클럽하우스,"경기도 용인시 처인구 원삼면 보개원삼로1534번길 40, 1,2층",경기도 용인시 처인구 원삼면 목신리 356-10 ClubHouse ,17170,37.13418249,127.3259392,
용인시,(주)비에스에프앤씨,"경기도 용인시 기흥구 구성로 18, 2층 (마북동)",경기도 용인시 기흥구 마북동 373-9 ,16920,37.29494406,127.111526,
용인시,(주)빠델라,"경기도 용인시 기흥구 구성로279번길 10, 101호 (청덕동, 1층)",경기도 용인시 기흥구 청덕동 533-5번지 1층 101호,16914,37.2907883,127.1404889,
용인시,(주)산간고,"경기도 용인시 수지구 고기로 126 (동천동, 나동 1층)",경기도 용인시 수지구 동천동 86-1 나동 1층 ,16824,37.34764902,127.0903784,
용인시,(주)산뜨락,경기도 용인시 수지구 신봉2로 180,,,,,
용인시,(주)산의 아침,경기도 용인시 수지구 샘말로 96,,,,,
용인시,(주)서울감자탕,경기도 용인시 기흥구 흥덕2로75번길 25-1,,,,,
용인시,(주)소소헌,경기도 용인시 수지구 포은대로 552,,,,,
용인시,(주)신촌댁식품,경기도 용인시 처인구 원삼면 죽양대로 1774 (2층),경기도 용인시 처인구 원삼면 맹리 559-5번지 2층 ,17166,37.19461165,127.3261098,
용인시,(주)신화푸드 긴자 죽전점,"경기도 용인시 수지구 용구대로 2750, 2층 207호 (죽전동, 죽전 효성해링턴 플레이스)",경기도 용인시 수지구 죽전동 887 죽전 효성해링턴 플레이스 ,16868,37.33124529,127.1094766,
용인시,(주)신화푸드 송도갈비천지연죽전점,"경기도 용인시 수지구 용구대로 2750, 201호 (죽전동, 죽전 효성해링턴 플레이스)",경기도 용인시 수지구 죽전동 887번지 죽전 효성해링턴 플레이스 ,16868,37.33103317,127.1092395,
용인시,(주)아워홈 싱카이 노블카운티,"경기도 용인시 기흥구 덕영대로 1751 (하갈동, 리빙프라자 4층)",경기도 용인시 기흥구 하갈동 471-3 리빙프라자 4층 ,17099,37.25258476,127.0841842,
용인시,(주)아워홈해솔리아컨트리클럽대식당,경기도 용인시 처인구 이동읍 백자로 369,"경기도 용인시 처인구 이동읍 서리 1223 외14필지, 1층 클럽하우스동 ",,,,
용인시,(주)앤트러사이트커피용인기흥점,"경기도 용인시 기흥구 신고매로 124, 롯데프리미엄아울렛기흥점 주건축물제1동 지하2층일부 (고매동)",경기도 용인시 기흥구 고매동 280 롯데프리미엄아울렛기흥점 주건축물제1동 지하2층일부 ,17087,37.22544981,127.1209569,
용인시,(주)에밀리드바하마,"경기도 용인시 기흥구 어정로 134-24 (중동, 라온705 107호일부)",경기도 용인시 기흥구 중동 705 라온705 107호,16995,37.27495314,127.1466859,
