시군명,시설구분명,시장명,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
용인시,대규모점포,쥬네브쇼핑몰,446765,경기도 용인시 기흥구 동백죽전대로 444 (중동),경기도 용인시 기흥구 중동 쥬네브썬월드빌딩,37.2779622,127.1516621
용인시,대규모점포,(주)농협유통하나로클럽 용인점,446516,경기도 용인시 기흥구 중부대로 682 (상하동),경기도 용인시기흥구 상하동 351번지,37.26605054,127.1358439
용인시,대규모점포,수원프리미엄아울렛,16956,"경기도 용인시 기흥구 중부대로 64, 영통프리미엄아울렛 (영덕동)",경기도 용인시 기흥구 영덕동 517번지 1호 영통프리미엄아울렛,37.2665719,127.0762744
용인시,대규모점포,(주)쥬네브문월드,446528,경기도 용인시 기흥구 동백5로 22 (중동),경기도 용인시 기흥구 중동 838번지,37.27590419,127.1512723
용인시,대규모점포,이케아 기흥점,17086,경기도 용인시 기흥구 원고매로 125 (고매동),경기도 용인시 기흥구 고매동 산 41번지,37.22078348,127.1162687
용인시,대규모점포,리빙파워센터,17086,경기도 용인시 기흥구 신고매로 59 (고매동),경기도 용인시 기흥구 고매동 271번지,37.22341803,127.114249
용인시,대규모점포,정동마트,17149,경기도 용인시 처인구 고림로 206(고림동),경기도 용인시 처인구 고림동 599-8,37.24952113,127.2232777
용인시,대규모점포,세영산업주식회사,17158,경기도 용인시 처인구 양지면 죽양대로 2309,경기도 용인시 처인구 양지면 양지리 112,37.23369742,127.2969067
용인시,대규모점포,현대그린프라자,16837,"경기도 용인시 수지구 풍덕천로 149, 현대그린프라자 (풍덕천동)",경기도 용인시 수지구 풍덕천동 715-2 현대그린프라자,37.3246253,127.0975804
용인시,대규모점포,(주)이마트 동백점,446528,경기도 용인시 기흥구 동백죽전대로 444 (중동),경기도 용인시 기흥구 중동 833번지,37.27799636,127.1515898
용인시,대규모점포,(주)프리미엄아울렛,16956,경기도 용인시 기흥구 중부대로 64 (영덕동),경기도 용인시기흥구 영덕동 517호,37.26660022,127.076201
용인시,대규모점포,(주)천우산업개발 역북패션아울렛,,경기도 용인시 처인구 중부대로 1294,경기도 용인시 처인구 역북동 역북지구 복합용지 1,37.2359914,127.1887365
용인시,대규모점포,월마트코리아(주)구성점,16907,경기도 용인시 기흥구 용구대로 2457 (보정동),경기도 용인시기흥구 보정동 1019-237호 외31필지,37.3049883,127.1049955
용인시,대규모점포,동양마트,17070,경기도 용인시 기흥구 중부대로 682 (상하동),경기도 용인시기흥구 상하동 351호   ,37.265853,127.1360242
