,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
22,한국전력,광교마을46단지 광교스타클래스,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 법조로 252,37.2993199,127.0735488,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 1108 광교마을46단지 광교스타클래스,상현1동
23,한국전력,교동마을 동양파라곤,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로 140,37.3014745,127.1227597,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 641 동양 파라곤아파트,마북동
24,한국전력,교동마을 동양파라곤,3,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로 140,37.3014745,127.1227597,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 641 동양 파라곤아파트,마북동
25,한국전력,교동마을쌍용,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로154번길 23,37.3033372,127.1269241,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 621 교동마을쌍용아파트,마북동
26,한국전력,교동마을쌍용,3,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 마북로154번길 23,37.3033372,127.1269241,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 621 교동마을쌍용아파트,마북동
27,한국전력,구성역 효성해링턴플레이스,1,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 구성로53번길 20지하,37.2966346,127.1159556,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 651 효성해링턴플레이스,마북동
28,한국전력,구성역 효성해링턴플레이스,2,AC완속,경기도,용인시,경기도 용인시 기흥구 마북동 구성로53번길 20지하,37.2966346,127.1159556,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 기흥구 마북동 651 효성해링턴플레이스,마북동
29,한국전력,금호베스트빌2단지아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 상현로 58지하,37.3029745,127.0801141,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 832 상현마을 금호베스트빌 2단지,상현1동
30,한국전력,금호베스트빌2단지아파트,3,AC완속,경기도,용인시,경기도 용인시 수지구 상현동 상현로 58지하,37.3029745,127.0801141,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 상현동 832 상현마을 금호베스트빌 2단지,상현1동
31,한국전력,꽃메마을한라신영프로방스아파트,2,AC완속,경기도,용인시,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,37.3217098,127.1144788,24시간,시설 상황에 따라 이용이 제한될 수 있음,경기도 용인시 수지구 죽전동 1302 꽃메마을한라신영프로방스,죽전1동
